Scaffold_ID,Recruiter_Count,Protein
PRMT4_SCAF_1,24,PRMT4
PRMT4_SCAF_10,1,PRMT4
PRMT4_SCAF_11,2,PRMT4
PRMT4_SCAF_12,1,PRMT4
PRMT4_SCAF_13,1,PRMT4
PRMT4_SCAF_14,1,PRMT4
PRMT4_SCAF_15,1,PRMT4
PRMT4_SCAF_16,1,PRMT4
PRMT4_SCAF_17,1,PRMT4
PRMT4_SCAF_18,2,PRMT4
PRMT4_SCAF_19,1,PRMT4
PRMT4_SCAF_2,1,PRMT4
PRMT4_SCAF_20,1,PRMT4
PRMT4_SCAF_21,1,PRMT4
PRMT4_SCAF_22,2,PRMT4
PRMT4_SCAF_23,1,PRMT4
PRMT4_SCAF_24,1,PRMT4
PRMT4_SCAF_25,1,PRMT4
PRMT4_SCAF_26,1,PRMT4
PRMT4_SCAF_27,1,PRMT4
PRMT4_SCAF_28,1,PRMT4
PRMT4_SCAF_29,1,PRMT4
PRMT4_SCAF_3,1,PRMT4
PRMT4_SCAF_30,1,PRMT4
PRMT4_SCAF_31,1,PRMT4
PRMT4_SCAF_32,1,PRMT4
PRMT4_SCAF_33,1,PRMT4
PRMT4_SCAF_34,1,PRMT4
PRMT4_SCAF_35,1,PRMT4
PRMT4_SCAF_36,1,PRMT4
PRMT4_SCAF_37,2,PRMT4
PRMT4_SCAF_4,1,PRMT4
PRMT4_SCAF_5,1,PRMT4
PRMT4_SCAF_6,1,PRMT4
PRMT4_SCAF_7,1,PRMT4
PRMT4_SCAF_8,1,PRMT4
PRMT4_SCAF_9,1,PRMT4
