SMILES,Warhead
C(COCCOCCOCCOCCOCCOCCO)O,['P33']
C(COCCOCCOCCOCCOCCOCCOCCO)O,['PE8']
C/C=C/[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['QVR']
C1C[C@H](NC1)C(=O)N,['LPD']
CC(C)n1c2c(cn1)c(cc(n2)c3cccc(c3)OC[C@@H](CN)O)N4CCOCC4,['BW7']
CCC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['8ZB']
CCOC(=O)C(=O)CN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['6CZ']
CCc1ccncc1CNCCCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3ccc4c3ncnc4N)O)O,['44T']
CNCCN1CCC(CC1)c2cc(ccn2)CN(C)C(=O)c3cccc(c3)Oc4ccccc4,['7VM']
CNC[C@H](CN1CCCc2ccccc2C1)O,['XJ2']
COCCOC,['DXE']
COCCOCCOC,['M2M']
COCCOCCOCCOCCOCCOC,['PG6']
COCCOCCOCCOCCOCCOCCO,['P15']
COCN1C=C(C(=NC1=O)N)CN(CC[C@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['78K']
COCN1C=C(C(=NC1=O)N)CNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['LHB']
COCN1C=C(C(=NC1=O)N)C[NH2+]CC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['LHD']
COCN1C=CC(=NC1=O)NCCNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['78V']
COc1ccc(cc1)CCNC(=O)[C@@H](CC[C@@H](C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)CNCc5ccccc5)N,['HDG']
Cc1c(nc(nc1N2CC3(C2)CCN(CC3)C(=O)OC)c4cc(ccc4Cl)OC[C@@H](CNC)O)c5c(noc5C)C,['BW4']
Cc1c(nc(nc1NC2CCOCC2)c3cccc(c3)CNCCNC)c4c(noc4C)C,['XJ3']
Cc1c(nc(nc1Nc2ccccc2)c3cccc(c3)CNCCNC)c4c(noc4C)C,['XJ4']
[H]/N=C(/N)\NCCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['KYB']
[H]/N=C(/N)\NCCCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['KYE']
[H]/N=C(/N)\NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['6D2']
[H]/N=C(/NCCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['LSK']
[H]/N=C(/NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['7ZH']
[H]/N=C(/NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)\Nc5cccc(c5)Br,['I0B']
[H]/N=C(/NCCC[C@@H](C(=O)OCc1ccccc1)NC(=O)OCc2ccccc2)\N(C)CCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['A00']
[H]/N=C(\N)/NCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['KYH']
[H]/N=C(\N)/NCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['KY2']
[H]/N=C(\N)/NCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,['6YB']
[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NC/C=C/[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['85U']
[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NCCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['867']
[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['4R7']
[H]/N=C(\NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)/NC5CCCC5,['I1K']
[H]/N=C(\NCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['LRZ']
[H]/N=C(\NCCC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)/NCCC[C@@H](C(=O)OCc4ccccc4)NC(=O)OCc5ccccc5,['A01']
c1c(nc[nH]1)CN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['6CX']
c1c(nnn1CCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)C[C@@H](C(=O)O)N,['6D3']
c1cc(cc(c1)Br)CNCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['X9L']
c1cc(ccc1OCCN2C=C(C(=NC2=O)N)CNCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)Br,['LHF']
c1ccc(cc1)CNC(=O)NCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['GWU']
c1ccc(cc1)CNC(=O)NCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['YVU']
c1ccc(cc1)CNC[C@@H](CC[C@@H](C(=O)NCCc2ccc(cc2)O)N)C[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,['FTG']
c1ccnc(c1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['KY5']
c1ccnc(c1)NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['KXW']
c1cnc(nc1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,['KY8']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/CNC(=[NH2+])N)O)O)N,['6ZH']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCCNC(=[NH2+])N)O)O)N,['GJV']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCNC(=[NH2+])N)O)O)N,['6RE']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CCCN)CC[C@@H](C(=O)O)N)O)O)N,['6D6']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CCCN=[N+]=[N-])CC[C@@H](C(=O)O)N)O)O)N,['6D5']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CC(=O)CBr)O)O)N,['6D0']
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CCCl)O)O)N,['6D1']
