protein,pdb,chain,ligand,MW,Name
PRMT4,3b3f,A,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,3b3f,B,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,3b3f,C,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,3b3f,D,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5dwq,A,SFG,381.387,SINEFUNGIN
PRMT4,5dwq,B,SFG,381.387,SINEFUNGIN
PRMT4,5dwq,C,SFG,381.387,SINEFUNGIN
PRMT4,5dwq,D,SFG,381.387,SINEFUNGIN
PRMT4,4ikp,A,4IK,395.414,"(2S,5S)-2,6-diamino-5-{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}hexanoic acid"
PRMT4,4ikp,B,4IK,395.414,"(2S,5S)-2,6-diamino-5-{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}hexanoic acid"
PRMT4,4ikp,C,4IK,395.414,"(2S,5S)-2,6-diamino-5-{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}hexanoic acid"
PRMT4,4ikp,D,4IK,395.414,"(2S,5S)-2,6-diamino-5-{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}hexanoic acid"
PRMT4,5dx0,A,SFG,381.387,SINEFUNGIN
PRMT4,5dx0,B,SFG,381.387,SINEFUNGIN
PRMT4,5dx0,C,SFG,381.387,SINEFUNGIN
PRMT4,5dx0,D,SFG,381.387,SINEFUNGIN
PRMT4,5dx1,A,SFG,381.387,SINEFUNGIN
PRMT4,5dx1,B,SFG,381.387,SINEFUNGIN
PRMT4,5dx1,C,SFG,381.387,SINEFUNGIN
PRMT4,5dx1,D,SFG,381.387,SINEFUNGIN
PRMT4,5dx8,A,SFG,381.387,SINEFUNGIN
PRMT4,5dx8,B,SFG,381.387,SINEFUNGIN
PRMT4,5dx8,C,SFG,381.387,SINEFUNGIN
PRMT4,5dx8,D,SFG,381.387,SINEFUNGIN
PRMT4,5dxa,A,SFG,381.387,SINEFUNGIN
PRMT4,5dxa,B,SFG,381.387,SINEFUNGIN
PRMT4,5dxa,C,SFG,381.387,SINEFUNGIN
PRMT4,5dxa,D,SFG,381.387,SINEFUNGIN
PRMT4,5dxj,A,SFG,381.387,SINEFUNGIN
PRMT4,5dxj,B,SFG,381.387,SINEFUNGIN
PRMT4,5dxj,C,SFG,381.387,SINEFUNGIN
PRMT4,5dxj,D,SFG,381.387,SINEFUNGIN
PRMT4,5ih3,A,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5ih3,B,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5ih3,C,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5ih3,D,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5ih3,B,PE8,370.436,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL"
PRMT4,5ih3,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ih3,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is6,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is6,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is6,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is6,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is6,A,SFG,381.387,SINEFUNGIN
PRMT4,5is6,B,SFG,381.387,SINEFUNGIN
PRMT4,5is6,C,SFG,381.387,SINEFUNGIN
PRMT4,5is6,D,SFG,381.387,SINEFUNGIN
PRMT4,5is7,A,DSH,340.401,5'-S-(3-aminopropyl)-5'-thioadenosine
PRMT4,5is7,B,DSH,340.401,5'-S-(3-aminopropyl)-5'-thioadenosine
PRMT4,5is7,C,DSH,340.401,5'-S-(3-aminopropyl)-5'-thioadenosine
PRMT4,5is7,D,DSH,340.401,5'-S-(3-aminopropyl)-5'-thioadenosine
PRMT4,5is8,A,6D1,429.859,5'-{[(3S)-3-amino-3-carboxypropyl](2-chloroethyl)amino}-5'-deoxyadenosine
PRMT4,5is8,B,6D1,429.859,5'-{[(3S)-3-amino-3-carboxypropyl](2-chloroethyl)amino}-5'-deoxyadenosine
PRMT4,5is8,C,6D1,429.859,5'-{[(3S)-3-amino-3-carboxypropyl](2-chloroethyl)amino}-5'-deoxyadenosine
PRMT4,5is8,D,SAH,384.411,S-ADENOSYL-L-HOMOCYSTEINE
PRMT4,5is9,A,6D3,563.567,"(2S)-2-amino-4-[(3-{4-[(2S)-2-amino-2-carboxyethyl]-1H-1,2,3-triazol-1-yl}propyl){[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}amino]butanoic acid (non-preferred name)"
PRMT4,5is9,B,6D3,563.567,"(2S)-2-amino-4-[(3-{4-[(2S)-2-amino-2-carboxyethyl]-1H-1,2,3-triazol-1-yl}propyl){[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}amino]butanoic acid (non-preferred name)"
PRMT4,5is9,C,6D3,563.567,"(2S)-2-amino-4-[(3-{4-[(2S)-2-amino-2-carboxyethyl]-1H-1,2,3-triazol-1-yl}propyl){[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}amino]butanoic acid (non-preferred name)"
PRMT4,5is9,D,6D3,563.567,"(2S)-2-amino-4-[(3-{4-[(2S)-2-amino-2-carboxyethyl]-1H-1,2,3-triazol-1-yl}propyl){[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}amino]butanoic acid (non-preferred name)"
PRMT4,5is9,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5is9,B,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isa,A,6D5,450.452,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azidopropyl)amino]-2-azanyl-butanoic acid"
PRMT4,5isa,B,6D5,450.452,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azidopropyl)amino]-2-azanyl-butanoic acid"
PRMT4,5isa,C,6D5,450.452,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azidopropyl)amino]-2-azanyl-butanoic acid"
PRMT4,5isa,D,6D5,450.452,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azidopropyl)amino]-2-azanyl-butanoic acid"
PRMT4,5isa,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isa,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isa,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isb,A,6CX,447.448,5'-{[(3S)-3-amino-3-carboxypropyl][(1H-imidazol-4-yl)methyl]amino}-5'-deoxyadenosine
PRMT4,5isb,B,6CX,447.448,5'-{[(3S)-3-amino-3-carboxypropyl][(1H-imidazol-4-yl)methyl]amino}-5'-deoxyadenosine
PRMT4,5isb,C,6CX,447.448,5'-{[(3S)-3-amino-3-carboxypropyl][(1H-imidazol-4-yl)methyl]amino}-5'-deoxyadenosine
PRMT4,5isb,D,6CX,447.448,5'-{[(3S)-3-amino-3-carboxypropyl][(1H-imidazol-4-yl)methyl]amino}-5'-deoxyadenosine
PRMT4,5isb,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isc,A,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isc,C,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isc,B,6D0,502.32,5'-{[(3S)-3-amino-3-carboxypropyl](3-bromo-2-oxopropyl)amino}-5'-deoxyadenosine
PRMT4,5isc,D,6D0,502.32,5'-{[(3S)-3-amino-3-carboxypropyl](3-bromo-2-oxopropyl)amino}-5'-deoxyadenosine
PRMT4,5isc,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isc,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isc,C,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isd,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isd,A,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isd,C,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isd,D,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isd,B,6CZ,481.46,"5'-{[(3S)-3-amino-3-carboxypropyl](3-ethoxy-2,3-dioxopropyl)amino}-5'-deoxyadenosine"
PRMT4,5ise,A,6D2,466.495,5'-{[(3S)-3-amino-3-carboxypropyl](3-carbamimidamidopropyl)amino}-5'-deoxyadenosine
PRMT4,5ise,B,6D2,466.495,5'-{[(3S)-3-amino-3-carboxypropyl](3-carbamimidamidopropyl)amino}-5'-deoxyadenosine
PRMT4,5ise,C,6D2,466.495,5'-{[(3S)-3-amino-3-carboxypropyl](3-carbamimidamidopropyl)amino}-5'-deoxyadenosine
PRMT4,5ise,D,6D2,466.495,5'-{[(3S)-3-amino-3-carboxypropyl](3-carbamimidamidopropyl)amino}-5'-deoxyadenosine
PRMT4,5ise,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ise,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ise,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ise,B,PE8,370.436,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL"
PRMT4,5isf,A,6D4,440.458,5'-{[(3S)-3-amino-3-carboxypropyl][2-(triazan-1-yl)ethyl]amino}-5'-deoxyadenosine
PRMT4,5isf,B,6D4,440.458,5'-{[(3S)-3-amino-3-carboxypropyl][2-(triazan-1-yl)ethyl]amino}-5'-deoxyadenosine
PRMT4,5isf,D,6D4,440.458,5'-{[(3S)-3-amino-3-carboxypropyl][2-(triazan-1-yl)ethyl]amino}-5'-deoxyadenosine
PRMT4,5isf,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isf,C,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isf,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isf,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isf,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isf,C,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5isg,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isg,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isg,A,PG6,266.331,1-(2-METHOXY-ETHOXY)-2-{2-[2-(2-METHOXY-ETHOXY]-ETHOXY}-ETHANE
PRMT4,5isg,A,6D6,424.455,5'-{[(3S)-3-amino-3-carboxypropyl](3-aminopropyl)amino}-5'-deoxyadenosine
PRMT4,5isg,B,6D6,424.455,5'-{[(3S)-3-amino-3-carboxypropyl](3-aminopropyl)amino}-5'-deoxyadenosine
PRMT4,5isg,C,6D6,424.455,5'-{[(3S)-3-amino-3-carboxypropyl](3-aminopropyl)amino}-5'-deoxyadenosine
PRMT4,5isg,D,6D6,424.455,5'-{[(3S)-3-amino-3-carboxypropyl](3-aminopropyl)amino}-5'-deoxyadenosine
PRMT4,5isg,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5ish,A,765,394.406,5'-{1-[(3S)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
PRMT4,5ish,B,765,394.406,5'-{1-[(3S)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
PRMT4,5ish,C,765,394.406,5'-{1-[(3S)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
PRMT4,5ish,D,765,394.406,5'-{1-[(3S)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
PRMT4,5ish,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ish,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ish,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5ish,A,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5isi,A,5N5,266.257,5'-amino-5'-deoxyadenosine
PRMT4,5isi,B,5N5,266.257,5'-amino-5'-deoxyadenosine
PRMT4,5isi,C,5N5,266.257,5'-amino-5'-deoxyadenosine
PRMT4,5isi,D,5N5,266.257,5'-amino-5'-deoxyadenosine
PRMT4,5isi,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5isi,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8v,A,6RE,323.331,"[[2-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]-azanyl-methylidene]azanium"
PRMT4,5k8v,B,6RE,323.331,"[[2-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]-azanyl-methylidene]azanium"
PRMT4,5k8v,C,6RE,323.331,"[[2-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]-azanyl-methylidene]azanium"
PRMT4,5k8v,D,6RE,323.331,"[[2-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]-azanyl-methylidene]azanium"
PRMT4,5k8v,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8v,B,PG6,266.331,1-(2-METHOXY-ETHOXY)-2-{2-[2-(2-METHOXY-ETHOXY]-ETHOXY}-ETHANE
PRMT4,5k8w,A,GJV,337.358,"9-(7-{[amino(iminio)methyl]amino}-5,6,7-trideoxy-beta-D-ribo-heptofuranosyl)-9H-purin-6-amine"
PRMT4,5k8w,B,GJV,337.358,"9-(7-{[amino(iminio)methyl]amino}-5,6,7-trideoxy-beta-D-ribo-heptofuranosyl)-9H-purin-6-amine"
PRMT4,5k8w,C,GJV,337.358,"9-(7-{[amino(iminio)methyl]amino}-5,6,7-trideoxy-beta-D-ribo-heptofuranosyl)-9H-purin-6-amine"
PRMT4,5k8w,D,GJV,337.358,"9-(7-{[amino(iminio)methyl]amino}-5,6,7-trideoxy-beta-D-ribo-heptofuranosyl)-9H-purin-6-amine"
PRMT4,5k8w,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8w,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8w,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8x,A,6ZH,335.342,"[[[(~{E})-3-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]prop-2-enyl]amino]-azanyl-methylidene]azanium"
PRMT4,5k8x,B,6ZH,335.342,"[[[(~{E})-3-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]prop-2-enyl]amino]-azanyl-methylidene]azanium"
PRMT4,5k8x,C,6ZH,335.342,"[[[(~{E})-3-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]prop-2-enyl]amino]-azanyl-methylidene]azanium"
PRMT4,5k8x,D,6ZH,335.342,"[[[(~{E})-3-[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]prop-2-enyl]amino]-azanyl-methylidene]azanium"
PRMT4,5k8x,A,PE8,370.436,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL"
PRMT4,5k8x,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8x,C,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8x,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5k8x,C,M2M,134.174,1-METHOXY-2-(2-METHOXYETHOXY)ETHANE
PRMT4,5lgp,E,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgp,F,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgp,G,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgp,H,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgq,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lgq,A,PG6,266.331,1-(2-METHOXY-ETHOXY)-2-{2-[2-(2-METHOXY-ETHOXY]-ETHOXY}-ETHANE
PRMT4,5lgq,E,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgq,F,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgq,G,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgq,H,8ZB,279.295,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-propyl-oxolane-3,4-diol"
PRMT4,5lgr,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lgr,B,PG6,266.331,1-(2-METHOXY-ETHOXY)-2-{2-[2-(2-METHOXY-ETHOXY]-ETHOXY}-ETHANE
PRMT4,5lgr,E,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgr,F,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgr,G,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgr,H,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgr,E,LPD,114.146,L-PROLINAMIDE
PRMT4,5lgr,F,LPD,114.146,L-PROLINAMIDE
PRMT4,5lgr,G,LPD,114.146,L-PROLINAMIDE
PRMT4,5lgr,H,LPD,114.146,L-PROLINAMIDE
PRMT4,5lkj,A,6YB,452.468,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(2-carbamimidamidoethyl)amino]-2-azanyl-butanoic acid"
PRMT4,5lkj,B,6YB,452.468,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(2-carbamimidamidoethyl)amino]-2-azanyl-butanoic acid"
PRMT4,5lkj,C,6YB,452.468,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(2-carbamimidamidoethyl)amino]-2-azanyl-butanoic acid"
PRMT4,5lkj,D,6YB,452.468,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(2-carbamimidamidoethyl)amino]-2-azanyl-butanoic acid"
PRMT4,5lkj,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lkj,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lkj,B,P33,326.383,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL"
PRMT4,5lgs,A,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lgs,B,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lgs,D,DXE,90.121,"1,2-DIMETHOXYETHANE"
PRMT4,5lgs,E,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgs,F,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgs,G,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lgs,H,QVR,277.279,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[(~{E})-prop-1-enyl]oxolane-3,4-diol"
PRMT4,5lv2,A,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5lv2,C,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5lv2,E,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5lv2,G,SAO,385.419,5'-S-[(3S)-3-azaniumyl-3-carboxypropyl]-5'-thioadenosine
PRMT4,5lv2,B,LHB,433.422,"5-[[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]methyl]-4-azanyl-1-(methoxymethyl)pyrimidin-2-one"
PRMT4,5lv2,D,LHB,433.422,"5-[[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]methyl]-4-azanyl-1-(methoxymethyl)pyrimidin-2-one"
PRMT4,5lv2,F,LHB,433.422,"5-[[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]methyl]-4-azanyl-1-(methoxymethyl)pyrimidin-2-one"
PRMT4,5lv2,H,LHB,433.422,"5-[[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]methyl]-4-azanyl-1-(methoxymethyl)pyrimidin-2-one"
