protein,pdb,chain,entity_id,Similarity
NUDT5,2dsc,A,1,91.98113207547169
NUDT5,2dsc,B,1,91.98113207547169
NUDT5,2dsb,A,1,85.90308370044053
NUDT5,2dsb,B,1,85.90308370044053
NUDT5,2dsb,C,1,85.90308370044053
NUDT5,2dsb,D,1,85.90308370044053
NUDT5,2dsd,A,1,91.98113207547169
NUDT5,2dsd,B,1,91.98113207547169
NUDT5,3ac9,A,1,100.0
NUDT5,3ac9,B,1,100.0
NUDT5,3bm4,A,1,92.85714285714286
NUDT5,3bm4,B,1,92.85714285714286
NUDT5,3aca,A,1,99.48979591836735
NUDT5,3aca,B,1,99.48979591836735
NUDT5,3l85,A,1,100.0
NUDT5,3l85,B,1,100.0
NUDT5,5nqr,A,1,89.04109589041096
NUDT5,5nqr,B,1,89.04109589041096
NUDT5,5qj4,A,1,93.30143540669856
NUDT5,5qj4,B,1,93.30143540669856
NUDT5,5qj4,C,1,93.30143540669856
NUDT5,5qj4,D,1,93.30143540669856
NUDT5,5qj5,A,1,93.30143540669856
NUDT5,5qj5,B,1,93.30143540669856
NUDT5,5qj5,C,1,93.30143540669856
NUDT5,5qj5,D,1,93.30143540669856
NUDT5,5qj6,A,1,93.30143540669856
NUDT5,5qj6,B,1,93.30143540669856
NUDT5,5qj6,C,1,93.30143540669856
NUDT5,5qj6,D,1,93.30143540669856
NUDT5,5qj7,A,1,93.30143540669856
NUDT5,5qj7,B,1,93.30143540669856
NUDT5,5qj7,C,1,93.30143540669856
NUDT5,5qj7,D,1,93.30143540669856
NUDT5,5qj8,A,1,93.30143540669856
NUDT5,5qj8,B,1,93.30143540669856
NUDT5,5qj8,C,1,93.30143540669856
NUDT5,5qj8,D,1,93.30143540669856
NUDT5,5qj9,A,1,93.30143540669856
NUDT5,5qj9,B,1,93.30143540669856
NUDT5,5qj9,C,1,93.30143540669856
NUDT5,5qj9,D,1,93.30143540669856
NUDT5,5qja,A,1,93.30143540669856
NUDT5,5qja,B,1,93.30143540669856
NUDT5,5qja,C,1,93.30143540669856
NUDT5,5qja,D,1,93.30143540669856
NUDT5,5qjb,A,1,93.30143540669856
NUDT5,5qjb,B,1,93.30143540669856
NUDT5,5qjb,C,1,93.30143540669856
NUDT5,5qjb,D,1,93.30143540669856
NUDT5,5qjc,A,1,93.30143540669856
NUDT5,5qjc,B,1,93.30143540669856
NUDT5,5qjc,C,1,93.30143540669856
NUDT5,5qjc,D,1,93.30143540669856
NUDT5,5qjd,A,1,93.30143540669856
NUDT5,5qjd,B,1,93.30143540669856
NUDT5,5qjd,C,1,93.30143540669856
NUDT5,5qjd,D,1,93.30143540669856
NUDT5,5qje,A,1,93.30143540669856
NUDT5,5qje,B,1,93.30143540669856
NUDT5,5qje,C,1,93.30143540669856
NUDT5,5qje,D,1,93.30143540669856
NUDT5,5qjg,A,1,93.30143540669856
NUDT5,5qjg,B,1,93.30143540669856
NUDT5,5qjg,C,1,93.30143540669856
NUDT5,5qjg,D,1,93.30143540669856
NUDT5,5qjh,A,1,93.30143540669856
NUDT5,5qjh,B,1,93.30143540669856
NUDT5,5qjh,C,1,93.30143540669856
NUDT5,5qjh,D,1,93.30143540669856
NUDT5,5qji,A,1,93.30143540669856
NUDT5,5qji,B,1,93.30143540669856
NUDT5,5qji,C,1,93.30143540669856
NUDT5,5qji,D,1,93.30143540669856
NUDT5,5qjj,A,1,93.30143540669856
NUDT5,5qjj,B,1,93.30143540669856
NUDT5,5qjj,C,1,93.30143540669856
NUDT5,5qjj,D,1,93.30143540669856
NUDT5,5qjk,A,1,93.30143540669856
NUDT5,5qjk,B,1,93.30143540669856
NUDT5,5qjk,C,1,93.30143540669856
NUDT5,5qjk,D,1,93.30143540669856
NUDT5,5qjl,A,1,93.30143540669856
NUDT5,5qjl,B,1,93.30143540669856
NUDT5,5qjl,C,1,93.30143540669856
NUDT5,5qjl,D,1,93.30143540669856
NUDT5,5qjm,A,1,93.30143540669856
NUDT5,5qjm,B,1,93.30143540669856
NUDT5,5qjm,C,1,93.30143540669856
NUDT5,5qjm,D,1,93.30143540669856
NUDT5,5qjn,A,1,93.30143540669856
NUDT5,5qjn,B,1,93.30143540669856
NUDT5,5qjn,C,1,93.30143540669856
NUDT5,5qjn,D,1,93.30143540669856
NUDT5,5qjo,A,1,93.30143540669856
NUDT5,5qjo,B,1,93.30143540669856
NUDT5,5qjo,C,1,93.30143540669856
NUDT5,5qjo,D,1,93.30143540669856
NUDT5,5qjp,A,1,93.30143540669856
NUDT5,5qjp,B,1,93.30143540669856
NUDT5,5qjp,C,1,93.30143540669856
NUDT5,5qjp,D,1,93.30143540669856
NUDT5,5qjq,A,1,93.30143540669856
NUDT5,5qjq,B,1,93.30143540669856
NUDT5,5qjq,C,1,93.30143540669856
NUDT5,5qjq,D,1,93.30143540669856
NUDT5,5qjr,A,1,93.30143540669856
NUDT5,5qjr,B,1,93.30143540669856
NUDT5,5qjr,C,1,93.30143540669856
NUDT5,5qjr,D,1,93.30143540669856
NUDT5,5qjs,A,1,93.30143540669856
NUDT5,5qjs,B,1,93.30143540669856
NUDT5,5qjs,C,1,93.30143540669856
NUDT5,5qjs,D,1,93.30143540669856
NUDT5,5qjt,A,1,93.30143540669856
NUDT5,5qjt,B,1,93.30143540669856
NUDT5,5qjt,C,1,93.30143540669856
NUDT5,5qjt,D,1,93.30143540669856
NUDT5,5qju,A,1,93.30143540669856
NUDT5,5qju,B,1,93.30143540669856
NUDT5,5qju,C,1,93.30143540669856
NUDT5,5qju,D,1,93.30143540669856
NUDT5,5qjv,A,1,93.30143540669856
NUDT5,5qjv,B,1,93.30143540669856
NUDT5,5qjv,C,1,93.30143540669856
NUDT5,5qjv,D,1,93.30143540669856
NUDT5,5qjw,A,1,93.30143540669856
NUDT5,5qjw,B,1,93.30143540669856
NUDT5,5qjw,C,1,93.30143540669856
NUDT5,5qjw,D,1,93.30143540669856
NUDT5,5qjx,A,1,93.30143540669856
NUDT5,5qjx,B,1,93.30143540669856
NUDT5,5qjx,C,1,93.30143540669856
NUDT5,5qjx,D,1,93.30143540669856
NUDT5,5qjy,A,1,93.30143540669856
NUDT5,5qjy,B,1,93.30143540669856
NUDT5,5qjy,C,1,93.30143540669856
NUDT5,5qjy,D,1,93.30143540669856
NUDT5,5qk1,A,1,93.30143540669856
NUDT5,5qk1,B,1,93.30143540669856
NUDT5,5qk1,C,1,93.30143540669856
NUDT5,5qk1,D,1,93.30143540669856
NUDT5,5qk2,A,1,93.30143540669856
NUDT5,5qk2,B,1,93.30143540669856
NUDT5,5qk2,C,1,93.30143540669856
NUDT5,5qk2,D,1,93.30143540669856
NUDT5,5qk3,A,1,93.30143540669856
NUDT5,5qk3,B,1,93.30143540669856
NUDT5,5qk3,C,1,93.30143540669856
NUDT5,5qk3,D,1,93.30143540669856
NUDT5,5qk4,A,1,93.30143540669856
NUDT5,5qk4,B,1,93.30143540669856
NUDT5,5qk4,C,1,93.30143540669856
NUDT5,5qk4,D,1,93.30143540669856
NUDT5,5qk5,A,1,93.30143540669856
NUDT5,5qk5,B,1,93.30143540669856
NUDT5,5qk5,C,1,93.30143540669856
NUDT5,5qk5,D,1,93.30143540669856
NUDT5,5qk6,A,1,93.30143540669856
NUDT5,5qk6,B,1,93.30143540669856
NUDT5,5qk6,C,1,93.30143540669856
NUDT5,5qk6,D,1,93.30143540669856
NUDT5,5qk7,A,1,93.30143540669856
NUDT5,5qk7,B,1,93.30143540669856
NUDT5,5qk7,C,1,93.30143540669856
NUDT5,5qk7,D,1,93.30143540669856
NUDT5,5qk8,A,1,93.30143540669856
NUDT5,5qk8,B,1,93.30143540669856
NUDT5,5qk8,C,1,93.30143540669856
NUDT5,5qk8,D,1,93.30143540669856
NUDT5,5qk9,A,1,93.30143540669856
NUDT5,5qk9,B,1,93.30143540669856
NUDT5,5qk9,C,1,93.30143540669856
NUDT5,5qk9,D,1,93.30143540669856
NUDT5,5qka,A,1,93.30143540669856
NUDT5,5qka,B,1,93.30143540669856
NUDT5,5qka,C,1,93.30143540669856
NUDT5,5qka,D,1,93.30143540669856
NUDT5,5qtl,A,1,93.30143540669856
NUDT5,5qtl,B,1,93.30143540669856
NUDT5,5qtl,C,1,93.30143540669856
NUDT5,5qtl,D,1,93.30143540669856
NUDT5,5qtm,A,1,93.30143540669856
NUDT5,5qtm,B,1,93.30143540669856
NUDT5,5qtm,C,1,93.30143540669856
NUDT5,5qtm,D,1,93.30143540669856
NUDT5,5qto,A,1,93.30143540669856
NUDT5,5qto,B,1,93.30143540669856
