protein,pdb,chain,ligand,MW,Name
SHMT,10zb,B,KOU,334.219,(E)-N-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)-L-serine
SHMT,10zb,B,THG,445.429,"(6S)-5,6,7,8-TETRAHYDROFOLATE"
SHMT,1dfo,A,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1dfo,B,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1dfo,C,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1dfo,D,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1eji,A,THF,473.439,5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID
SHMT,1eji,B,THF,473.439,5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID
SHMT,1eji,D,THF,473.439,5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID
SHMT,1eqb,A,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1eqb,B,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1eqb,C,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1eqb,D,FFO,473.439,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid"
SHMT,1kkp,A,SER,105.093,SERINE
SHMT,1kl2,A,FON,473.439,"N-{[4-({[(6R)-2-amino-5-formyl-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)phenyl]carbonyl}-L-glutamic acid"
SHMT,1kl2,B,FON,473.439,"N-{[4-({[(6R)-2-amino-5-formyl-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)phenyl]carbonyl}-L-glutamic acid"
SHMT,1ps6,A,4TP,215.098,4-HYDROXY-L-THREONINE-5-MONOPHOSPHATE
SHMT,1ls3,B,TGF,731.667,"2-[4-(4-{4-[(2-AMINO-5-FORMYL-4-OXO-3,4,5,6,7,8-HEXAHYDRO-PTERIDIN-6-YLMETHYL)-AMINO]-BENZOYLAMINO}-4-CARBOXY-BUTYRYLAM INO)-4-CARBOXY-BUTYRYLAMINO]-PENTANEDIOIC ACID"
