protein,pdb,chain,entity_id,Similarity
DYRK1A,4ylk,A,1,99.7229916897507
DYRK1A,3anq,A,1,100.0
DYRK1A,3anq,B,1,100.0
DYRK1A,3anq,C,1,100.0
DYRK1A,3anq,D,1,100.0
DYRK1A,3anr,A,1,100.0
DYRK1A,3anr,B,1,100.0
DYRK1A,3anr,C,1,100.0
DYRK1A,3anr,D,1,100.0
DYRK1A,4yu2,A,1,99.7229916897507
DYRK1A,4yu2,B,1,99.7229916897507
DYRK1A,4yu2,C,1,99.7229916897507
DYRK1A,4yu2,D,1,99.7229916897507
DYRK1A,4yll,A,1,99.7229916897507
DYRK1A,4aze,A,1,94.50261780104712
DYRK1A,4aze,B,1,94.50261780104712
DYRK1A,4aze,C,1,94.50261780104712
DYRK1A,4aze,E,2,25.0
DYRK1A,4aze,F,2,25.0
DYRK1A,4aze,G,2,25.0
DYRK1A,4mq1,A,1,99.7229916897507
DYRK1A,4mq1,B,1,99.7229916897507
DYRK1A,4mq1,C,1,99.7229916897507
DYRK1A,4mq1,D,1,99.7229916897507
DYRK1A,4mq2,A,1,99.7229916897507
DYRK1A,4mq2,B,1,99.7229916897507
DYRK1A,4mq2,C,1,99.7229916897507
DYRK1A,4mq2,D,1,99.7229916897507
DYRK1A,4ylj,A,1,99.7229916897507
DYRK1A,4ylj,B,1,99.7229916897507
DYRK1A,4ylj,C,1,99.7229916897507
DYRK1A,4ylj,D,1,99.7229916897507
DYRK1A,2vx3,A,1,94.50261780104712
DYRK1A,2vx3,B,1,94.50261780104712
DYRK1A,2vx3,C,1,94.50261780104712
DYRK1A,2vx3,D,1,94.50261780104712
DYRK1A,4nct,A,1,100.0
DYRK1A,4nct,B,1,100.0
DYRK1A,4nct,D,1,100.0
DYRK1A,4nct,C,2,100.0
DYRK1A,2wo6,A,1,94.50261780104712
DYRK1A,2wo6,B,1,94.50261780104712
DYRK1A,2wo6,C,2,100.0
DYRK1A,5a3x,A,1,100.0
DYRK1A,5a3x,B,1,100.0
DYRK1A,5a3x,C,1,100.0
DYRK1A,5a3x,D,1,100.0
DYRK1A,6a1f,A,1,99.44444444444444
DYRK1A,5a4e,A,1,100.0
DYRK1A,5a4e,B,1,100.0
DYRK1A,5a4e,C,1,100.0
DYRK1A,5a4e,D,1,100.0
DYRK1A,5a4l,A,1,100.0
DYRK1A,5a4l,B,1,100.0
DYRK1A,5a4l,C,1,100.0
DYRK1A,5a4l,D,1,100.0
DYRK1A,6a1g,A,1,99.44444444444444
DYRK1A,6a1g,B,1,99.44444444444444
DYRK1A,5a4t,A,1,100.0
DYRK1A,5a4t,B,1,100.0
DYRK1A,5a4t,C,1,100.0
DYRK1A,5a4t,D,1,100.0
DYRK1A,5a54,A,1,100.0
DYRK1A,5a54,B,1,100.0
DYRK1A,5a54,C,1,100.0
DYRK1A,5a54,D,1,100.0
DYRK1A,6eil,A,1,100.0
DYRK1A,6eil,B,1,100.0
DYRK1A,6eil,C,1,100.0
DYRK1A,6eil,D,1,100.0
DYRK1A,6eif,A,1,100.0
DYRK1A,6eif,B,1,100.0
DYRK1A,6eif,C,1,100.0
DYRK1A,6eif,D,1,100.0
DYRK1A,5a4q,A,1,100.0
DYRK1A,5a4q,B,1,100.0
DYRK1A,5a4q,C,1,100.0
DYRK1A,5a4q,D,1,100.0
DYRK1A,6eij,A,1,100.0
DYRK1A,6eij,B,1,100.0
DYRK1A,6eij,C,1,100.0
DYRK1A,6eij,D,1,100.0
DYRK1A,5aik,A,1,94.50261780104712
DYRK1A,5aik,B,1,94.50261780104712
DYRK1A,5aik,C,1,94.50261780104712
DYRK1A,5aik,D,1,94.50261780104712
DYRK1A,6eiv,A,1,100.0
DYRK1A,6eiv,B,1,100.0
DYRK1A,6eiv,C,1,100.0
DYRK1A,6eiv,D,1,100.0
DYRK1A,6s11,A,1,99.7229916897507
DYRK1A,6s11,B,1,99.7229916897507
DYRK1A,6eis,A,1,100.0
DYRK1A,6eis,B,1,100.0
DYRK1A,6eis,C,1,100.0
DYRK1A,6eis,D,1,100.0
DYRK1A,6eip,A,1,100.0
DYRK1A,6eip,B,1,100.0
DYRK1A,6eip,C,1,100.0
DYRK1A,6eip,D,1,100.0
DYRK1A,6s1h,A,1,99.7229916897507
DYRK1A,6ej4,A,1,100.0
DYRK1A,6ej4,B,1,100.0
DYRK1A,6ej4,C,1,100.0
DYRK1A,6ej4,D,1,100.0
DYRK1A,6ln1,A,1,99.71181556195965
DYRK1A,6ln1,B,1,99.71181556195965
DYRK1A,6eiq,A,1,100.0
DYRK1A,6eiq,B,1,100.0
DYRK1A,6eiq,C,1,100.0
DYRK1A,6eiq,D,1,100.0
DYRK1A,6eir,A,1,100.0
DYRK1A,6eir,B,1,100.0
DYRK1A,6eir,C,1,100.0
DYRK1A,6eir,D,1,100.0
DYRK1A,6s17,A,1,99.7229916897507
DYRK1A,6s1b,A,1,99.7229916897507
DYRK1A,6qu2,A,1,99.7229916897507
DYRK1A,6qu2,B,1,99.7229916897507
DYRK1A,6qu2,C,1,99.7229916897507
DYRK1A,6qu2,D,1,99.7229916897507
DYRK1A,6s1j,A,1,99.7229916897507
DYRK1A,6uwy,A,1,99.7229916897507
DYRK1A,6uwy,B,1,99.7229916897507
DYRK1A,6uwy,C,1,99.7229916897507
DYRK1A,6uwy,D,1,99.7229916897507
DYRK1A,6uip,A,1,99.7229916897507
DYRK1A,6uip,B,1,99.7229916897507
DYRK1A,6uip,C,1,99.7229916897507
DYRK1A,6t6a,A,1,99.7229916897507
DYRK1A,6t6a,B,1,99.7229916897507
DYRK1A,6t6a,C,1,99.7229916897507
DYRK1A,6t6a,D,1,99.7229916897507
DYRK1A,7a51,A,1,95.82172701949861
DYRK1A,6s14,A,1,99.7229916897507
DYRK1A,7a4r,A,1,95.49295774647887
DYRK1A,7a4r,B,1,95.49295774647887
DYRK1A,7a4o,A,1,94.50261780104712
DYRK1A,7a4o,B,1,94.50261780104712
DYRK1A,6yf8,A,1,100.0
DYRK1A,6yf8,B,1,100.0
DYRK1A,6yf8,C,1,100.0
DYRK1A,6yf8,D,1,100.0
DYRK1A,7a4s,A,1,95.82172701949861
DYRK1A,6s1i,A,1,99.7229916897507
DYRK1A,6s1i,B,1,99.7229916897507
DYRK1A,6s1i,C,1,99.7229916897507
DYRK1A,6s1i,D,1,99.7229916897507
DYRK1A,7a4w,A,1,94.50261780104712
DYRK1A,7a4w,B,1,94.50261780104712
DYRK1A,7a4z,A,1,95.82172701949861
DYRK1A,7a53,A,1,95.82172701949861
DYRK1A,7a53,B,1,95.82172701949861
DYRK1A,7a52,A,1,95.49295774647887
DYRK1A,7a52,B,1,95.49295774647887
DYRK1A,7a55,A,1,94.50261780104712
DYRK1A,7a55,B,1,94.50261780104712
DYRK1A,7a5b,A,1,94.50261780104712
DYRK1A,7a5b,B,1,94.50261780104712
DYRK1A,7a5l,A,1,95.82172701949861
DYRK1A,7aj5,A,1,95.82172701949861
DYRK1A,7a5d,A,1,95.82172701949861
DYRK1A,7aj2,A,1,95.82172701949861
DYRK1A,7aj4,A,1,95.82172701949861
DYRK1A,7aj8,A,1,95.82172701949861
DYRK1A,7a5n,A,1,95.82172701949861
DYRK1A,7a5n,B,1,95.82172701949861
DYRK1A,7aja,A,1,95.82172701949861
DYRK1A,7ajm,A,1,95.49295774647887
DYRK1A,7ajm,B,1,95.49295774647887
DYRK1A,7ak2,A,1,95.82172701949861
DYRK1A,7ak2,B,1,95.82172701949861
DYRK1A,7akb,A,1,95.82172701949861
DYRK1A,7akb,B,1,95.82172701949861
DYRK1A,7ake,A,1,95.82172701949861
DYRK1A,7ake,B,1,95.82172701949861
DYRK1A,7ajv,A,1,95.82172701949861
DYRK1A,7ajv,B,1,95.82172701949861
DYRK1A,7ajy,A,1,95.82172701949861
DYRK1A,7ajy,B,1,95.82172701949861
DYRK1A,7aj7,A,1,95.82172701949861
DYRK1A,7ajs,A,1,95.49295774647887
DYRK1A,7ajs,B,1,95.49295774647887
DYRK1A,7aka,A,1,95.82172701949861
DYRK1A,7aka,B,1,95.82172701949861
DYRK1A,7ajw,A,1,95.82172701949861
DYRK1A,7akl,A,1,95.82172701949861
DYRK1A,7fht,A,1,100.0
DYRK1A,7fht,B,1,100.0
DYRK1A,7fht,C,1,100.0
DYRK1A,7fht,D,1,100.0
DYRK1A,8yev,A,1,96.94444444444444
DYRK1A,8yev,B,1,96.94444444444444
DYRK1A,8c3r,A,1,98.37837837837839
DYRK1A,8c3r,B,1,98.37837837837839
DYRK1A,8t2h,A,1,100.0
DYRK1A,8t2h,B,1,100.0
DYRK1A,8c3q,A,1,98.37837837837839
DYRK1A,8c3q,B,1,98.37837837837839
DYRK1A,7zh8,A,1,94.50261780104712
DYRK1A,7zh8,B,1,94.50261780104712
DYRK1A,7zh8,C,1,94.50261780104712
DYRK1A,7zh8,D,1,94.50261780104712
DYRK1A,7o7k,A,1,99.7229916897507
DYRK1A,7o7k,B,1,99.7229916897507
DYRK1A,7fhs,A,1,100.0
DYRK1A,7fhs,B,1,100.0
DYRK1A,7fhs,C,1,100.0
DYRK1A,7fhs,D,1,100.0
DYRK1A,8r8e,A,1,99.7229916897507
DYRK1A,8r8e,B,1,99.7229916897507
DYRK1A,8r8e,C,1,99.7229916897507
DYRK1A,8r8e,D,2,99.7229916897507
DYRK1A,8c3g,A,1,98.11320754716981
DYRK1A,8c3g,B,1,98.11320754716981
DYRK1A,8c3g,C,1,98.11320754716981
DYRK1A,8c3g,D,1,98.11320754716981
DYRK1A,7oy6,C,1,100.0
DYRK1A,9cy5,A,1,100.0
DYRK1A,9cy5,B,1,100.0
DYRK1A,9fuf,A,1,99.7229916897507
DYRK1A,9ft2,A,1,99.7229916897507
DYRK1A,9krj,A,1,48.099606815203146
DYRK1A,9krj,B,1,48.099606815203146
DYRK1A,7z5n,A,1,98.37837837837839
DYRK1A,7z5n,B,1,98.37837837837839
DYRK1A,7z5n,C,1,98.37837837837839
DYRK1A,7z5n,D,1,98.37837837837839
DYRK1A,7z5n,E,1,98.37837837837839
DYRK1A,7z5n,F,1,98.37837837837839
DYRK1A,7z5n,G,1,98.37837837837839
DYRK1A,7z5n,H,1,98.37837837837839
DYRK1A,9fpx,A,1,98.11320754716981
DYRK1A,9fpx,B,1,98.11320754716981
DYRK1A,9ft3,A,1,99.7229916897507
DYRK1A,9ft4,A,1,99.7229916897507
DYRK1A,9ft6,A,1,99.7229916897507
