protein,pdb,chain,entity_id,Similarity
EGFR,1xkk,A,1,39.77272727272727
EGFR,1m17,A,1,41.44144144144144
EGFR,1z9i,A,1,73.58490566037736
EGFR,1wt5,A,1,49.60629921259843
EGFR,1wt5,B,1,49.60629921259843
EGFR,1wt5,C,2,50.81967213114754
EGFR,1wt5,D,2,50.81967213114754
EGFR,2eb2,A,1,41.31736526946108
EGFR,2gs2,A,1,41.81818181818181
EGFR,1i31,A,1,31.84713375796178
EGFR,1i31,P,2,100.0
EGFR,1m14,A,1,41.44144144144144
EGFR,1bw8,A,1,31.15264797507788
EGFR,1bw8,P,2,100.0
EGFR,2eb3,A,1,41.61676646706587
EGFR,2gs6,A,1,41.81818181818181
EGFR,2gs6,B,2,92.3076923076923
EGFR,1cf4,A,1,44.02173913043478
EGFR,1cf4,B,2,77.27272727272727
EGFR,2itn,A,1,41.896024464831804
EGFR,2itx,A,1,42.201834862385326
EGFR,2ito,A,1,41.896024464831804
EGFR,2gs7,A,1,41.515151515151516
EGFR,2gs7,B,1,41.515151515151516
EGFR,2itp,A,1,41.896024464831804
EGFR,2itt,A,1,42.201834862385326
EGFR,2itq,A,1,41.896024464831804
EGFR,2itu,A,1,42.201834862385326
EGFR,2itw,A,1,42.201834862385326
EGFR,2ity,A,1,42.201834862385326
EGFR,2itz,A,1,42.201834862385326
EGFR,2j5e,A,1,42.201834862385326
EGFR,2itv,A,1,42.201834862385326
EGFR,2izv,A,1,44.919786096256686
EGFR,2izv,B,2,54.23728813559322
EGFR,2izv,C,3,55.670103092783506
EGFR,2ks1,A,1,81.81818181818183
EGFR,2ks1,B,2,77.27272727272727
EGFR,2jit,A,1,41.896024464831804
EGFR,2jit,B,1,41.896024464831804
EGFR,2m0b,A,1,77.27272727272727
EGFR,2m0b,B,1,77.27272727272727
EGFR,2j6m,A,1,42.201834862385326
EGFR,2jiv,A,1,41.76829268292683
EGFR,2jiv,B,1,41.76829268292683
EGFR,2jiu,A,1,41.76829268292683
EGFR,2jiu,B,1,41.76829268292683
EGFR,2j5f,A,1,42.201834862385326
EGFR,2m20,A,1,73.33333333333333
EGFR,2m20,B,1,73.33333333333333
EGFR,2n5s,A,1,75.92592592592592
EGFR,2rgp,A,1,43.17460317460318
EGFR,2rfd,A,1,42.592592592592595
EGFR,2rfd,B,1,42.592592592592595
EGFR,2rfd,C,2,84.0
EGFR,2rfd,D,2,84.0
EGFR,2z4q,A,1,39.726027397260275
EGFR,2z4q,B,2,38.07339449541284
EGFR,3ca7,A,1,71.15384615384616
EGFR,3bel,A,1,43.17460317460318
EGFR,3buo,A,1,100.0
EGFR,3buo,C,1,100.0
EGFR,3buo,B,2,34.650455927051674
EGFR,3buo,D,2,34.650455927051674
EGFR,3c08,L,1,37.735849056603776
EGFR,3c08,H,2,38.56502242152467
EGFR,2rf9,A,1,41.81818181818181
EGFR,2rf9,B,1,41.81818181818181
EGFR,2rf9,C,2,67.6923076923077
EGFR,2rf9,D,2,67.6923076923077
EGFR,2rfe,A,1,42.592592592592595
EGFR,2rfe,B,1,42.592592592592595
EGFR,2rfe,C,1,42.592592592592595
EGFR,2rfe,D,1,42.592592592592595
EGFR,2rfe,E,2,82.5
EGFR,2rfe,F,2,82.5
EGFR,3cgu,A,1,39.91031390134529
EGFR,3cgu,B,1,39.91031390134529
EGFR,2xkn,A,1,37.219730941704036
EGFR,2xkn,C,1,37.219730941704036
EGFR,2xkn,B,2,41.2037037037037
EGFR,2xkn,D,2,41.2037037037037
EGFR,3c9a,A,1,39.91031390134529
EGFR,3c9a,B,1,39.91031390134529
EGFR,3c9a,C,2,71.15384615384616
EGFR,3c9a,D,2,71.15384615384616
EGFR,3g5v,A,1,39.62264150943396
EGFR,3g5v,B,2,38.497652582159624
EGFR,3g5v,C,3,93.75
EGFR,3c09,B,1,37.735849056603776
