protein,pdb,chain,entity_id,Similarity
TYMS,1ypv,A,1,100.0
TYMS,2rd8,A,1,99.68051118210862
TYMS,2rd8,B,2,99.68051118210862
TYMS,2rda,A,1,99.68051118210862
TYMS,2rda,B,1,99.68051118210862
TYMS,2rda,C,1,99.68051118210862
TYMS,2rda,D,1,99.68051118210862
TYMS,2rda,E,1,99.68051118210862
TYMS,2rda,F,1,99.68051118210862
TYMS,3eaw,X,1,99.68051118210862
TYMS,3ed7,A,1,98.64406779661017
TYMS,3ebu,A,1,99.68051118210862
TYMS,3ef9,A,1,99.68051118210862
TYMS,3edw,X,1,99.68051118210862
TYMS,3egy,X,1,99.68051118210862
TYMS,3ejl,A,1,99.68051118210862
TYMS,3ejl,B,1,99.68051118210862
TYMS,3ejl,C,1,99.68051118210862
TYMS,3ejl,D,1,99.68051118210862
TYMS,3hb8,A,1,99.68051118210862
TYMS,3hb8,B,1,99.68051118210862
TYMS,3hb8,C,1,99.68051118210862
TYMS,3hb8,D,1,99.68051118210862
TYMS,3hb8,E,1,99.68051118210862
TYMS,3h9k,A,1,99.68051118210862
TYMS,3h9k,B,1,99.68051118210862
TYMS,3h9k,C,1,99.68051118210862
TYMS,3h9k,D,1,99.68051118210862
TYMS,3h9k,E,1,99.68051118210862
TYMS,3ihi,A,1,90.87947882736157
TYMS,3ihi,B,1,90.87947882736157
TYMS,3n5e,A,1,96.3076923076923
TYMS,3n5e,B,2,96.3076923076923
TYMS,3n5e,D,3,100.0
TYMS,3n5g,A,1,96.3076923076923
TYMS,3ob7,A,1,99.68051118210862
TYMS,3ob7,B,1,99.68051118210862
TYMS,3ob7,C,1,99.68051118210862
TYMS,3ob7,D,1,99.68051118210862
TYMS,3ob7,E,1,99.68051118210862
TYMS,4e28,A,1,96.3076923076923
TYMS,4fgt,A,1,96.0
TYMS,4fgt,D,2,100.0
TYMS,4ez8,A,1,90.87947882736157
TYMS,4g6w,X,1,99.68051118210862
TYMS,4g2o,X,1,99.68051118210862
TYMS,4gyh,A,1,98.42767295597484
TYMS,4h1i,A,1,98.42767295597484
TYMS,4h1i,B,1,98.42767295597484
TYMS,4h1i,C,1,98.42767295597484
TYMS,4h1i,D,1,98.42767295597484
TYMS,4kpw,A,1,96.0
TYMS,4jef,A,1,99.65034965034964
TYMS,4o1u,A,1,96.0
TYMS,4o1u,B,1,96.0
TYMS,5hs3,A,1,100.0
TYMS,5hs3,B,1,100.0
TYMS,5hs3,C,1,100.0
TYMS,5hs3,D,1,100.0
TYMS,5hs3,E,1,100.0
TYMS,5hs3,F,1,100.0
TYMS,5wrn,A,1,100.0
TYMS,5wrn,B,1,100.0
TYMS,5wrn,C,1,100.0
TYMS,5wrn,D,1,100.0
TYMS,5wrn,E,1,100.0
TYMS,5wrn,F,1,100.0
TYMS,5x4w,A,1,99.36305732484077
TYMS,5x4x,A,1,99.36305732484077
TYMS,5x5a,A,1,99.6551724137931
TYMS,5x5a,B,1,99.6551724137931
TYMS,5x5a,C,1,99.6551724137931
TYMS,5x5a,D,1,99.6551724137931
TYMS,5x5a,E,1,99.6551724137931
TYMS,5x5a,F,1,99.6551724137931
TYMS,5x5d,A,1,99.6551724137931
TYMS,5x5d,B,1,99.6551724137931
TYMS,5x5d,C,1,99.6551724137931
TYMS,5x5d,D,1,99.6551724137931
TYMS,5x5d,E,1,99.6551724137931
TYMS,5x5d,F,1,99.6551724137931
TYMS,5x5q,A,1,99.6551724137931
TYMS,5x5q,B,1,99.6551724137931
TYMS,5x5q,C,1,99.6551724137931
TYMS,5x5q,D,1,99.6551724137931
TYMS,5x5q,E,1,99.6551724137931
TYMS,5x5q,F,1,99.6551724137931
TYMS,5x66,A,1,99.6551724137931
TYMS,5x66,B,1,99.6551724137931
TYMS,5x66,C,1,99.6551724137931
TYMS,5x66,D,1,99.6551724137931
TYMS,5x66,E,1,99.6551724137931
TYMS,5x66,F,1,99.6551724137931
TYMS,5x67,A,1,99.6551724137931
TYMS,5x67,B,1,99.6551724137931
TYMS,5x69,A,1,99.6551724137931
TYMS,5x69,B,1,99.6551724137931
TYMS,5x69,C,1,99.6551724137931
TYMS,5x69,D,1,99.6551724137931
TYMS,5x69,E,1,99.6551724137931
TYMS,5x69,F,1,99.6551724137931
TYMS,6f6z,A,1,90.87947882736157
TYMS,6f6z,B,1,90.87947882736157
TYMS,6gko,A,1,90.87947882736157
TYMS,6gko,B,1,90.87947882736157
TYMS,6gyj,A,1,90.87947882736157
TYMS,6gyj,B,1,90.87947882736157
TYMS,6oju,A,1,100.0
TYMS,6oju,B,1,100.0
TYMS,6oju,C,1,100.0
TYMS,6oju,D,1,100.0
TYMS,6ojv,A,1,100.0
TYMS,6ojv,B,1,100.0
TYMS,6ojv,C,1,100.0
TYMS,6ojv,D,1,100.0
TYMS,6pf3,A,1,100.0
TYMS,6pf3,B,1,100.0
TYMS,6pf3,C,1,100.0
TYMS,6pf3,D,1,100.0
TYMS,6pf6,A,1,100.0
TYMS,6pf6,B,1,100.0
TYMS,6pf6,C,1,100.0
TYMS,6pf6,D,1,100.0
TYMS,6qxh,A,1,96.3076923076923
TYMS,6qxh,B,1,96.3076923076923
TYMS,6qxh,C,1,96.3076923076923
TYMS,6qyq,A,1,96.0
TYMS,6qyq,C,2,96.0
TYMS,6qyq,B,3,96.0
TYMS,6qyq,D,4,96.0
TYMS,6r2e,A,1,96.0
TYMS,6r2e,B,1,96.0
TYMS,6r2e,C,1,96.0
TYMS,6r2e,D,1,96.0
TYMS,6r2e,F,1,96.0
TYMS,6r2e,H,1,96.0
TYMS,6r2e,E,2,96.0
TYMS,6r2e,G,2,96.0
TYMS,6qxg,A,1,96.3076923076923
TYMS,6qxg,B,1,96.3076923076923
TYMS,6qxg,C,1,96.3076923076923
TYMS,6y08,A,1,90.87947882736157
TYMS,6y08,B,1,90.87947882736157
TYMS,6zxo,A,1,96.3076923076923
TYMS,6zxo,B,1,96.3076923076923
TYMS,6zxo,C,1,96.3076923076923
TYMS,6zxo,D,1,96.3076923076923
TYMS,6zxo,E,1,96.3076923076923
TYMS,6zxo,F,2,96.3076923076923
TYMS,7dp4,A,1,64.70588235294117
TYMS,7dp5,A,1,64.70588235294117
