protein,pdb,chain,entity_id,Similarity
HER2,1cxp,A,1,56.730769230769226
HER2,1cxp,B,1,56.730769230769226
HER2,1cxp,C,2,29.184549356223176
HER2,1cxp,D,2,29.184549356223176
HER2,1d2v,A,1,56.730769230769226
HER2,1d2v,B,1,56.730769230769226
HER2,1d2v,C,2,29.184549356223176
HER2,1d2v,D,2,29.184549356223176
HER2,1d5l,A,1,56.730769230769226
HER2,1d5l,B,1,56.730769230769226
HER2,1d5l,C,2,29.184549356223176
HER2,1d5l,D,2,29.184549356223176
HER2,1d7w,A,1,56.730769230769226
HER2,1d7w,B,1,56.730769230769226
HER2,1d7w,C,2,29.184549356223176
HER2,1d7w,D,2,29.184549356223176
HER2,1g4u,S,1,32.637075718015666
HER2,1g4u,R,2,45.108695652173914
HER2,2prl,A,1,34.60490463215259
HER2,3szb,A,1,27.505330490405118
HER2,3szb,B,1,27.505330490405118
HER2,4b95,A,1,55.08474576271186
HER2,4b95,D,1,55.08474576271186
HER2,4b95,G,1,55.08474576271186
HER2,4b95,J,1,55.08474576271186
HER2,4b95,B,2,54.63917525773196
HER2,4b95,E,2,54.63917525773196
HER2,4b95,H,2,54.63917525773196
HER2,4b95,K,2,54.63917525773196
HER2,4b95,C,3,50.0
HER2,4b95,F,3,50.0
HER2,4b95,I,3,50.0
HER2,4b95,L,3,50.0
HER2,4b9k,A,1,56.730769230769226
HER2,4b9k,D,1,56.730769230769226
HER2,4b9k,G,1,56.730769230769226
HER2,4b9k,J,1,56.730769230769226
HER2,4b9k,B,2,54.63917525773196
HER2,4b9k,H,2,54.63917525773196
HER2,4b9k,K,2,54.63917525773196
HER2,4b9k,C,3,49.122807017543856
HER2,4b9k,F,3,49.122807017543856
HER2,4b9k,I,3,49.122807017543856
HER2,4b9k,L,3,49.122807017543856
HER2,4b9k,E,4,54.63917525773196
HER2,4d1o,A,1,30.909090909090907
HER2,4d1o,B,1,30.909090909090907
HER2,4g5j,A,1,36.06060606060606
HER2,5b8d,A,1,53.271028037383175
HER2,5kh9,A,1,53.271028037383175
HER2,5v61,A,1,33.70786516853933
HER2,5v61,I,2,85.71428571428571
HER2,5li9,A,1,33.42857142857143
HER2,5vrx,A,4,34.31085043988269
HER2,5vyy,A,1,35.546875
HER2,5wbn,A,1,53.271028037383175
HER2,6ehj,A,1,30.946291560102303
HER2,6ehj,B,1,30.946291560102303
HER2,6en6,A,1,24.483306836248012
HER2,6en6,B,1,24.483306836248012
HER2,6en6,C,1,24.483306836248012
HER2,6en6,D,1,24.483306836248012
HER2,6o2p,A,1,14.439220953660175
HER2,6o2p,B,2,0.0
HER2,6p0i,B,1,46.236559139784944
HER2,6p0j,B,1,46.236559139784944
HER2,6p0k,B,1,46.236559139784944
HER2,6p0l,B,1,46.236559139784944
HER2,6p0m,B,1,46.236559139784944
HER2,6p0n,B,1,46.236559139784944
HER2,6p0o,B,1,46.236559139784944
HER2,6u65,A,1,52.56410256410257
HER2,6u65,B,1,52.56410256410257
HER2,6u65,C,1,52.56410256410257
HER2,6u65,D,1,52.56410256410257
HER2,6vcu,A,1,54.95495495495496
HER2,6vcu,B,1,54.95495495495496
HER2,6vcu,C,1,54.95495495495496
HER2,6vcu,D,1,54.95495495495496
HER2,7bia,A,1,41.904761904761905
HER2,7bia,B,1,41.904761904761905
HER2,7egc,0,1,35.92233009708738
HER2,7egc,1,2,27.00729927007299
HER2,7egc,2,3,31.645569620253166
HER2,7egc,3,4,36.038961038961034
HER2,7egc,4,5,29.43722943722944
HER2,7egc,5,6,66.19718309859155
HER2,7egc,6,7,21.483375959079286
HER2,7egc,7,8,22.763157894736842
HER2,7egc,8,9,34.39306358381503
HER2,7egc,9,10,34.984520123839005
HER2,7egc,A,11,12.232905982905983
HER2,7egc,B,12,16.09674728940784
HER2,7egc,D,13,16.31336405529954
HER2,7egc,d,13,16.31336405529954
HER2,7egc,E,14,20.875
HER2,7egc,e,14,20.875
HER2,7egc,F,15,22.304283604135893
HER2,7egc,f,15,22.304283604135893
HER2,7egc,G,16,32.95128939828081
HER2,7egc,H,17,34.516129032258064
HER2,7egc,I,18,35.984848484848484
HER2,7egc,i,18,35.984848484848484
HER2,7egc,J,19,40.825688073394495
HER2,7egc,j,19,40.825688073394495
HER2,7egc,L,20,48.4472049689441
HER2,7egc,l,20,48.4472049689441
HER2,7egc,O,21,54.12844036697248
HER2,7egc,P,22,30.973451327433626
