protein,pdb,chain,entity_id,Similarity
BACE1,1cqe,A,1,29.82758620689655
BACE1,1cqe,B,1,29.82758620689655
BACE1,1dvt,A,1,63.70967741935484
BACE1,1dvt,B,1,63.70967741935484
BACE1,1eqh,A,1,29.82758620689655
BACE1,1eqh,B,1,29.82758620689655
BACE1,1fkn,A,1,100.0
BACE1,1fkn,B,1,100.0
BACE1,1fkn,C,2,85.71428571428571
BACE1,1fkn,D,2,85.71428571428571
BACE1,1m23,A,1,100.0
BACE1,1m4h,A,1,100.0
BACE1,1m4h,B,1,100.0
BACE1,1m4h,C,2,85.71428571428571
BACE1,1m4h,D,2,85.71428571428571
BACE1,1p23,A,1,92.85714285714286
BACE1,1p23,B,1,92.85714285714286
BACE1,1p23,C,1,92.85714285714286
BACE1,1p23,D,1,92.85714285714286
BACE1,1py1,A,1,56.9620253164557
BACE1,1py1,B,1,56.9620253164557
BACE1,1py1,C,1,56.9620253164557
BACE1,1py1,D,1,56.9620253164557
BACE1,1py1,E,2,100.0
BACE1,1py1,F,2,100.0
BACE1,1py1,G,2,100.0
BACE1,1py1,H,2,100.0
BACE1,1r9o,A,1,33.542976939203356
BACE1,1sgz,A,1,100.0
BACE1,1sgz,B,1,100.0
BACE1,1sgz,C,1,100.0
BACE1,1sgz,D,1,100.0
BACE1,1tqf,A,1,98.51851851851852
BACE1,1ujj,A,1,57.82312925170068
BACE1,1ujj,B,1,57.82312925170068
BACE1,1ujj,C,2,100.0
BACE1,1ujk,A,1,57.82312925170068
BACE1,1ujk,B,1,57.82312925170068
BACE1,1ujk,C,2,100.0
BACE1,1ujk,D,2,100.0
BACE1,1w50,A,1,98.78345498783455
BACE1,1w51,A,1,98.78345498783455
BACE1,1xn2,A,1,100.0
BACE1,1xn2,B,1,100.0
BACE1,1xn2,C,1,100.0
BACE1,1xn2,D,1,100.0
BACE1,1xn2,E,2,91.66666666666666
BACE1,1xn2,F,2,91.66666666666666
BACE1,1xn2,G,2,91.66666666666666
BACE1,1xn2,H,2,91.66666666666666
BACE1,1xn3,A,1,100.0
BACE1,1xn3,B,1,100.0
BACE1,1xn3,C,1,100.0
BACE1,1xn3,D,1,100.0
BACE1,1xn3,I,2,92.85714285714286
BACE1,1xs7,D,1,100.0
BACE1,1ym2,A,1,99.50248756218906
BACE1,1ym2,B,1,99.50248756218906
BACE1,1ym2,C,1,99.50248756218906
BACE1,1ym2,X,2,50.0
BACE1,1ym2,Y,2,50.0
BACE1,1ym2,Z,2,50.0
BACE1,1ym4,A,1,99.50980392156863
BACE1,1ym4,B,1,99.50980392156863
BACE1,1ym4,C,1,99.50980392156863
BACE1,1ym4,X,2,80.0
BACE1,1ym4,Y,2,80.0
BACE1,1ym4,Z,2,80.0
BACE1,2ayl,A,1,30.560578661844485
BACE1,2ayl,B,1,30.560578661844485
BACE1,2b8l,A,1,98.51851851851852
BACE1,2b8v,A,1,98.51851851851852
BACE1,2ewy,A,1,60.835509138381205
BACE1,2ewy,B,1,60.835509138381205
BACE1,2ewy,C,1,60.835509138381205
BACE1,2ewy,D,1,60.835509138381205
BACE1,2f3e,A,1,99.50248756218906
BACE1,2f3e,B,1,99.50248756218906
BACE1,2f3e,C,1,99.50248756218906
BACE1,2f3f,A,1,99.50248756218906
BACE1,2f3f,B,1,99.50248756218906
BACE1,2f3f,C,1,99.50248756218906
BACE1,2fdp,A,1,100.0
BACE1,2fdp,B,1,100.0
BACE1,2fdp,C,1,100.0
BACE1,2g94,A,1,100.0
BACE1,2g94,B,1,100.0
BACE1,2g94,C,1,100.0
BACE1,2g94,D,1,100.0
BACE1,2hiz,A,1,89.67032967032968
BACE1,2hiz,B,1,89.67032967032968
BACE1,2hiz,C,1,89.67032967032968
BACE1,2hm1,A,1,99.26108374384236
BACE1,2iqg,A,1,99.26108374384236
BACE1,2irz,A,1,98.51851851851852
BACE1,2is0,A,1,98.51851851851852
BACE1,2n7q,A,1,79.62962962962963
BACE1,2n7r,A,1,79.62962962962963
BACE1,2ntr,A,1,98.51851851851852
BACE1,2oah,A,1,98.51851851851852
BACE1,2of0,A,1,99.25373134328358
BACE1,2ohk,A,1,99.25373134328358
BACE1,2ohl,A,1,99.25373134328358
BACE1,2ohm,A,1,99.25373134328358
BACE1,2ohn,A,1,99.25373134328358
BACE1,2ohp,A,1,99.25373134328358
BACE1,2ohq,A,1,99.25373134328358
BACE1,2ohr,A,1,99.25373134328358
BACE1,2ohs,A,1,99.25373134328358
BACE1,2oht,A,1,99.25373134328358
BACE1,2ohu,A,1,99.25373134328358
BACE1,2p4j,A,1,100.0
BACE1,2p4j,B,1,100.0
BACE1,2p4j,C,1,100.0
BACE1,2p4j,D,1,100.0
BACE1,2p83,A,1,89.67032967032968
BACE1,2p83,B,1,89.67032967032968
BACE1,2p83,C,1,89.67032967032968
BACE1,2p8h,A,1,98.51851851851852
BACE1,2ph6,A,1,98.51851851851852
BACE1,2ph8,A,1,98.51851851851852
BACE1,2q11,A,1,98.96907216494846
BACE1,2q11,B,1,98.96907216494846
BACE1,2q11,C,1,98.96907216494846
BACE1,2q15,A,1,98.96103896103897
BACE1,2qk5,A,1,99.49367088607595
BACE1,2qk5,B,1,99.49367088607595
BACE1,2qmd,A,1,99.49367088607595
BACE1,2qmd,B,1,99.49367088607595
BACE1,2qmf,A,1,99.49367088607595
BACE1,2qmf,B,1,99.49367088607595
BACE1,2qmg,A,1,99.49367088607595
BACE1,2qmg,B,1,99.49367088607595
BACE1,2qp8,A,1,99.49367088607595
BACE1,2qp8,B,1,99.49367088607595
BACE1,2qu2,A,1,100.0
BACE1,2qu3,A,1,100.0
BACE1,2qzk,A,1,98.51851851851852
BACE1,2qzl,A,1,97.08029197080292
BACE1,2v00,A,1,42.72727272727273
BACE1,2va5,A,1,89.23076923076924
BACE1,2va6,A,1,89.23076923076924
BACE1,2va7,A,1,89.23076923076924
BACE1,2vie,A,1,98.9795918367347
BACE1,2vij,A,1,98.9795918367347
BACE1,2viy,A,1,98.9795918367347
BACE1,2viz,A,1,98.9795918367347
BACE1,2vj6,A,1,98.9795918367347
BACE1,2vj7,A,1,98.9795918367347
BACE1,2vj9,A,1,98.9795918367347
BACE1,2vkm,A,1,100.0
BACE1,2vkm,B,1,100.0
BACE1,2vkm,C,1,100.0
BACE1,2vkm,D,1,100.0
BACE1,2vnm,A,1,98.9795918367347
BACE1,2vnn,A,1,98.9795918367347
BACE1,2wez,A,1,98.9795918367347
BACE1,2wf0,A,1,98.9795918367347
BACE1,2wf1,A,1,98.9795918367347
BACE1,2wf2,A,1,98.9795918367347
BACE1,2wf3,A,1,98.9795918367347
BACE1,2wf4,A,1,98.9795918367347
BACE1,2wjo,A,1,97.81553398058253
BACE1,2xfi,A,1,98.9795918367347
BACE1,2xfj,A,1,98.9795918367347
BACE1,2xfk,A,1,98.9795918367347
BACE1,2zdz,A,1,100.0
BACE1,2ze1,A,1,100.0
BACE1,2zhr,A,1,99.51338199513383
BACE1,2zhr,B,1,99.51338199513383
BACE1,2zhr,C,2,85.71428571428571
BACE1,2zhr,D,2,85.71428571428571
BACE1,2zhs,A,1,99.51338199513383
BACE1,2zht,A,1,99.51338199513383
BACE1,2zhu,A,1,99.51338199513383
BACE1,2zhv,A,1,99.51338199513383
BACE1,2zjh,A,1,98.76543209876543
BACE1,2zji,A,1,98.76543209876543
BACE1,2zjj,A,1,98.27160493827161
BACE1,2zjk,A,1,98.76543209876543
BACE1,2zjk,B,1,98.76543209876543
BACE1,2zjk,C,1,98.76543209876543
BACE1,2zjl,A,1,98.76543209876543
BACE1,2zjm,A,1,98.51851851851852
BACE1,2zjn,A,1,99.01234567901234
BACE1,3bra,A,1,99.75550122249389
BACE1,3buf,A,1,99.75550122249389
BACE1,3bug,A,1,99.75550122249389
BACE1,3buh,A,1,99.75550122249389
BACE1,3cib,A,1,100.0
BACE1,3cib,B,1,100.0
BACE1,3cic,A,1,100.0
BACE1,3cic,B,1,100.0
BACE1,3cid,A,1,100.0
BACE1,3cid,B,1,100.0
BACE1,3ckp,A,1,98.7864077669903
BACE1,3ckp,B,1,98.7864077669903
BACE1,3ckp,C,1,98.7864077669903
BACE1,3ckr,A,1,98.7864077669903
BACE1,3ckr,B,1,98.7864077669903
BACE1,3ckr,C,1,98.7864077669903
BACE1,3dm6,A,1,98.76847290640394
BACE1,3dm6,B,1,98.76847290640394
BACE1,3dm6,C,1,98.76847290640394
BACE1,3duy,A,1,99.50248756218906
BACE1,3duy,B,1,99.50248756218906
BACE1,3duy,C,1,99.50248756218906
BACE1,3dv1,A,1,99.50248756218906
