protein,pdb,chain,entity_id,Similarity
CRBN,3wx1,A,1,91.8918918918919
CRBN,3wx1,B,1,91.8918918918919
CRBN,4ci3,A,1,22.107081174438687
CRBN,4ci3,B,2,100.0
CRBN,5amh,A,1,67.2
CRBN,4tzc,A,1,91.66666666666666
CRBN,4tzc,B,1,91.66666666666666
CRBN,4tzc,C,1,91.66666666666666
CRBN,4tzc,D,1,91.66666666666666
CRBN,4v2y,A,1,67.2
CRBN,4v2y,B,1,67.2
CRBN,4v2y,C,1,67.2
CRBN,3wx2,A,1,91.8918918918919
CRBN,3wx2,B,1,91.8918918918919
CRBN,4v32,A,1,68.0
CRBN,4v32,B,1,68.0
CRBN,4v32,C,1,68.0
CRBN,4v2z,A,1,67.2
CRBN,4v2z,B,1,67.2
CRBN,4v2z,C,1,67.2
CRBN,4ci1,A,1,22.107081174438687
CRBN,4ci1,B,2,100.0
CRBN,4ci2,A,1,22.107081174438687
CRBN,4ci2,B,2,100.0
CRBN,4tz4,A,1,22.338568935427574
CRBN,4tz4,C,2,89.23884514435696
CRBN,4m91,A,1,56.52173913043478
CRBN,4m91,B,2,100.0
CRBN,5ami,A,1,67.2
CRBN,5ami,B,1,67.2
CRBN,5ami,C,1,67.2
CRBN,10ay,A,1,50.96153846153846
CRBN,10ay,D,1,50.96153846153846
CRBN,10ay,B,2,87.87128712871286
CRBN,10ay,E,2,87.87128712871286
CRBN,10ay,C,3,22.36842105263158
CRBN,10ay,F,3,22.36842105263158
CRBN,4v31,A,1,67.2
CRBN,4v31,B,1,67.2
CRBN,4v31,C,1,67.2
CRBN,5amj,A,1,67.2
CRBN,5amj,B,1,67.2
CRBN,5amj,C,1,67.2
CRBN,4tzu,A,1,91.66666666666666
CRBN,4tzu,B,1,91.66666666666666
CRBN,4tzu,C,1,91.66666666666666
CRBN,4tzu,D,1,91.66666666666666
CRBN,5amk,A,1,67.2
CRBN,5amk,B,1,67.2
CRBN,5amk,C,1,67.2
CRBN,5amk,D,1,67.2
CRBN,5oh9,A,1,67.2
CRBN,5oh9,B,1,67.2
CRBN,5oh9,C,1,67.2
CRBN,5oh4,A,1,67.2
