protein,pdb,chain,entity_id,Similarity
PRMT4,2oqb,A,1,58.97435897435898
PRMT4,2oqb,B,1,58.97435897435898
PRMT4,3b3f,A,1,100.0
PRMT4,3b3f,B,1,100.0
PRMT4,3b3f,C,1,100.0
PRMT4,3b3f,D,1,100.0
PRMT4,3b3g,A,1,100.0
PRMT4,3b3g,B,1,100.0
PRMT4,3b3j,A,1,73.125
PRMT4,4ikp,A,1,100.0
PRMT4,4ikp,B,1,100.0
PRMT4,4ikp,C,1,100.0
PRMT4,4ikp,D,1,100.0
PRMT4,5dwq,A,1,98.28080229226362
PRMT4,5dwq,B,1,98.28080229226362
PRMT4,5dwq,C,1,98.28080229226362
PRMT4,5dwq,D,1,98.28080229226362
PRMT4,5dwq,F,2,90.0
PRMT4,5dwq,G,2,90.0
PRMT4,5dx0,A,1,98.28080229226362
PRMT4,5dx0,B,1,98.28080229226362
PRMT4,5dx0,C,1,98.28080229226362
PRMT4,5dx0,D,1,98.28080229226362
PRMT4,5dx0,F,2,90.0
PRMT4,5dx0,G,2,90.0
PRMT4,5dx0,H,2,90.0
PRMT4,5dx0,I,2,90.0
PRMT4,5dx1,A,1,98.28080229226362
PRMT4,5dx1,B,1,98.28080229226362
PRMT4,5dx1,C,1,98.28080229226362
PRMT4,5dx1,D,1,98.28080229226362
PRMT4,5dx1,F,2,84.21052631578947
PRMT4,5dx1,G,2,84.21052631578947
PRMT4,5dx1,H,2,84.21052631578947
PRMT4,5dx1,I,2,84.21052631578947
PRMT4,5dx8,A,1,98.28080229226362
PRMT4,5dx8,B,1,98.28080229226362
PRMT4,5dx8,C,1,98.28080229226362
PRMT4,5dx8,D,1,98.28080229226362
PRMT4,5dx8,E,2,84.21052631578947
PRMT4,5dx8,F,2,84.21052631578947
PRMT4,5dx8,G,2,84.21052631578947
PRMT4,5dx8,H,2,84.21052631578947
PRMT4,5dxa,A,1,98.28080229226362
PRMT4,5dxa,B,1,98.28080229226362
PRMT4,5dxa,C,1,98.28080229226362
PRMT4,5dxa,D,1,98.28080229226362
PRMT4,5dxa,F,2,84.21052631578947
PRMT4,5dxa,G,2,84.21052631578947
PRMT4,5dxa,I,2,84.21052631578947
PRMT4,5dxj,A,1,98.28080229226362
PRMT4,5dxj,B,1,98.28080229226362
PRMT4,5dxj,C,1,98.28080229226362
PRMT4,5dxj,D,1,98.28080229226362
PRMT4,5ih3,A,1,95.84487534626038
PRMT4,5ih3,B,1,95.84487534626038
PRMT4,5ih3,C,1,95.84487534626038
PRMT4,5ih3,D,1,95.84487534626038
PRMT4,5is6,A,1,95.84487534626038
PRMT4,5is6,B,1,95.84487534626038
PRMT4,5is6,C,1,95.84487534626038
PRMT4,5is6,D,1,95.84487534626038
PRMT4,5is7,A,1,95.84487534626038
PRMT4,5is7,B,1,95.84487534626038
PRMT4,5is7,C,1,95.84487534626038
PRMT4,5is7,D,1,95.84487534626038
PRMT4,5is8,A,1,90.81364829396325
PRMT4,5is8,B,1,90.81364829396325
PRMT4,5is8,C,1,90.81364829396325
PRMT4,5is8,D,1,90.81364829396325
PRMT4,5is9,A,1,95.84487534626038
PRMT4,5is9,B,1,95.84487534626038
PRMT4,5is9,C,1,95.84487534626038
PRMT4,5is9,D,1,95.84487534626038
PRMT4,5isa,A,1,95.05494505494505
PRMT4,5isa,B,1,95.05494505494505
PRMT4,5isa,C,1,95.05494505494505
PRMT4,5isa,D,1,95.05494505494505
PRMT4,5isb,A,1,95.84487534626038
PRMT4,5isb,B,1,95.84487534626038
PRMT4,5isb,C,1,95.84487534626038
PRMT4,5isb,D,1,95.84487534626038
PRMT4,5isc,A,1,95.84487534626038
PRMT4,5isc,B,1,95.84487534626038
PRMT4,5isc,C,1,95.84487534626038
PRMT4,5isc,D,1,95.84487534626038
PRMT4,5isd,A,1,95.84487534626038
PRMT4,5isd,B,1,95.84487534626038
PRMT4,5isd,C,1,95.84487534626038
PRMT4,5isd,D,1,95.84487534626038
PRMT4,5ise,A,1,95.84487534626038
PRMT4,5ise,B,1,95.84487534626038
PRMT4,5ise,C,1,95.84487534626038
PRMT4,5ise,D,1,95.84487534626038
PRMT4,5isf,A,1,95.84487534626038
PRMT4,5isf,B,1,95.84487534626038
PRMT4,5isf,C,1,95.84487534626038
PRMT4,5isf,D,1,95.84487534626038
PRMT4,5isg,A,1,95.84487534626038
PRMT4,5isg,B,1,95.84487534626038
PRMT4,5isg,C,1,95.84487534626038
PRMT4,5isg,D,1,95.84487534626038
PRMT4,5ish,A,1,95.84487534626038
PRMT4,5ish,B,1,95.84487534626038
PRMT4,5ish,C,1,95.84487534626038
PRMT4,5ish,D,1,95.84487534626038
PRMT4,5isi,A,1,95.84487534626038
PRMT4,5isi,B,1,95.84487534626038
PRMT4,5isi,C,1,95.84487534626038
PRMT4,5isi,D,1,95.84487534626038
PRMT4,5k8v,A,1,95.84487534626038
PRMT4,5k8v,B,1,95.84487534626038
PRMT4,5k8v,C,1,95.84487534626038
PRMT4,5k8v,D,1,95.84487534626038
PRMT4,5k8w,A,1,95.84487534626038
PRMT4,5k8w,B,1,95.84487534626038
PRMT4,5k8w,C,1,95.84487534626038
PRMT4,5k8w,D,1,95.84487534626038
PRMT4,5k8x,A,1,95.84487534626038
PRMT4,5k8x,B,1,95.84487534626038
PRMT4,5k8x,C,1,95.84487534626038
PRMT4,5k8x,D,1,95.84487534626038
PRMT4,5lgp,A,1,95.84487534626038
PRMT4,5lgp,B,1,95.84487534626038
PRMT4,5lgp,C,1,95.84487534626038
PRMT4,5lgp,D,1,95.84487534626038
PRMT4,5lgp,E,2,86.66666666666667
PRMT4,5lgp,F,2,86.66666666666667
PRMT4,5lgp,G,2,86.66666666666667
PRMT4,5lgp,H,2,86.66666666666667
PRMT4,5lgq,A,1,95.84487534626038
PRMT4,5lgq,B,1,95.84487534626038
PRMT4,5lgq,C,1,95.84487534626038
PRMT4,5lgq,D,1,95.84487534626038
PRMT4,5lgq,E,2,90.9090909090909
PRMT4,5lgq,F,2,90.9090909090909
PRMT4,5lgq,G,2,90.9090909090909
PRMT4,5lgq,H,2,90.9090909090909
PRMT4,5lgr,A,1,95.84487534626038
PRMT4,5lgr,B,1,95.84487534626038
PRMT4,5lgr,C,1,95.84487534626038
PRMT4,5lgr,D,1,95.84487534626038
PRMT4,5lgr,E,2,100.0
PRMT4,5lgr,F,2,100.0
PRMT4,5lgr,G,2,100.0
PRMT4,5lgr,H,2,100.0
PRMT4,5lgs,A,1,95.84487534626038
PRMT4,5lgs,B,1,95.84487534626038
PRMT4,5lgs,C,1,95.84487534626038
PRMT4,5lgs,D,1,95.84487534626038
PRMT4,5lgs,E,2,100.0
PRMT4,5lgs,F,2,100.0
PRMT4,5lgs,G,2,100.0
PRMT4,5lgs,H,2,100.0
PRMT4,5lkj,A,1,93.26145552560648
PRMT4,5lkj,B,1,93.26145552560648
PRMT4,5lkj,C,1,93.26145552560648
PRMT4,5lkj,D,1,93.26145552560648
PRMT4,5lv2,A,1,95.84487534626038
PRMT4,5lv2,B,1,95.84487534626038
PRMT4,5lv2,C,1,95.84487534626038
PRMT4,5lv2,D,1,95.84487534626038
PRMT4,5lv2,E,1,95.84487534626038
PRMT4,5lv2,F,1,95.84487534626038
PRMT4,5lv2,G,1,95.84487534626038
PRMT4,5lv2,H,1,95.84487534626038
PRMT4,5lv3,A,1,95.84487534626038
PRMT4,5lv3,B,1,95.84487534626038
PRMT4,5lv3,C,1,95.84487534626038
PRMT4,5lv3,D,1,95.84487534626038
PRMT4,5ntc,A,1,93.26145552560648
PRMT4,5ntc,B,1,93.26145552560648
PRMT4,5ntc,C,1,93.26145552560648
PRMT4,5ntc,D,1,93.26145552560648
PRMT4,5tbh,A,1,95.84487534626038
PRMT4,5tbh,B,1,95.84487534626038
PRMT4,5tbh,C,1,95.84487534626038
PRMT4,5tbh,D,1,95.84487534626038
PRMT4,5tbi,A,1,95.84487534626038
PRMT4,5tbi,B,1,95.84487534626038
PRMT4,5tbi,C,1,95.84487534626038
PRMT4,5tbi,D,1,95.84487534626038
PRMT4,5tbj,A,1,95.84487534626038
PRMT4,5tbj,B,1,95.84487534626038
PRMT4,5tbj,C,1,95.84487534626038
PRMT4,5tbj,D,1,95.84487534626038
PRMT4,5u4x,A,1,100.0
PRMT4,5u4x,B,1,100.0
PRMT4,5u4x,C,1,100.0
PRMT4,5u4x,D,1,100.0
PRMT4,6arj,A,1,98.28080229226362
PRMT4,6arj,B,1,98.28080229226362
PRMT4,6arj,C,1,98.28080229226362
PRMT4,6arj,D,1,98.28080229226362
PRMT4,6arv,A,1,98.28080229226362
PRMT4,6arv,B,1,98.28080229226362
PRMT4,6arv,C,1,98.28080229226362
PRMT4,6arv,D,1,98.28080229226362
PRMT4,6d2l,A,1,97.38372093023256
PRMT4,6d2l,B,1,97.38372093023256
PRMT4,6d2l,C,1,97.38372093023256
PRMT4,6d2l,D,1,97.38372093023256
PRMT4,6d2l,E,1,97.38372093023256
PRMT4,6d2l,F,1,97.38372093023256
PRMT4,6dvr,A,1,97.38372093023256
PRMT4,6dvr,B,1,97.38372093023256
PRMT4,6izq,A,1,100.0
PRMT4,6izq,B,1,100.0
PRMT4,6izq,C,1,100.0
PRMT4,6izq,D,1,100.0
PRMT4,6s70,A,1,97.72079772079772
PRMT4,6s70,B,1,97.72079772079772
PRMT4,6s70,C,1,97.72079772079772
PRMT4,6s70,D,1,97.72079772079772
PRMT4,6s71,A,1,97.72079772079772
PRMT4,6s71,B,1,97.72079772079772
PRMT4,6s71,C,1,97.72079772079772
PRMT4,6s71,D,1,97.72079772079772
PRMT4,6s74,A,1,97.72079772079772
PRMT4,6s74,B,1,97.72079772079772
PRMT4,6s74,C,1,97.72079772079772
PRMT4,6s74,D,1,97.72079772079772
PRMT4,6s77,A,1,97.43589743589743
PRMT4,6s77,B,1,97.43589743589743
PRMT4,6s77,C,1,97.43589743589743
PRMT4,6s77,D,1,97.43589743589743
PRMT4,6s79,A,1,97.72079772079772
PRMT4,6s79,B,1,97.72079772079772
PRMT4,6s79,C,1,97.72079772079772
PRMT4,6s79,D,1,97.72079772079772
PRMT4,6s7a,A,1,97.72079772079772
PRMT4,6s7a,B,1,97.72079772079772
PRMT4,6s7a,C,1,97.72079772079772
PRMT4,6s7a,D,1,97.72079772079772
PRMT4,6s7b,A,1,97.72079772079772
PRMT4,6s7b,B,1,97.72079772079772
PRMT4,6s7b,C,1,97.72079772079772
PRMT4,6s7b,D,1,97.72079772079772
PRMT4,6s7c,A,1,97.72079772079772
PRMT4,6s7c,B,1,97.72079772079772
PRMT4,6s7c,C,1,97.72079772079772
PRMT4,6s7c,D,1,97.72079772079772
PRMT4,7fai,A,1,100.0
PRMT4,7fai,B,1,100.0
PRMT4,7fai,C,1,100.0
PRMT4,7fai,D,1,100.0
PRMT4,7faj,A,1,100.0
PRMT4,7faj,B,1,100.0
PRMT4,7faj,C,1,100.0
PRMT4,7faj,D,1,100.0
PRMT4,7nr4,A,1,44.680851063829785
PRMT4,7nr4,B,1,44.680851063829785
PRMT4,7nr4,C,1,44.680851063829785
PRMT4,7nr4,D,1,44.680851063829785
PRMT4,7okp,A,1,93.26145552560648
PRMT4,7okp,B,1,93.26145552560648
PRMT4,7okp,C,1,93.26145552560648
PRMT4,7okp,D,1,93.26145552560648
PRMT4,7okp,E,2,90.9090909090909
PRMT4,7okp,F,2,90.9090909090909
PRMT4,7okp,G,2,90.9090909090909
PRMT4,7okp,H,2,90.9090909090909
PRMT4,7os4,A,1,93.26145552560648
PRMT4,7os4,B,1,93.26145552560648
PRMT4,7os4,C,1,93.26145552560648
PRMT4,7os4,D,1,93.26145552560648
PRMT4,7os4,E,2,90.0
PRMT4,7os4,F,2,90.0
PRMT4,7os4,G,2,90.0
PRMT4,7os4,H,2,90.0
PRMT4,7ppq,A,1,95.84487534626038
PRMT4,7ppq,B,1,95.84487534626038
PRMT4,7ppq,C,1,95.84487534626038
PRMT4,7ppq,D,1,95.84487534626038
PRMT4,7ppy,A,1,95.84487534626038
PRMT4,7ppy,B,1,95.84487534626038
PRMT4,7ppy,C,1,95.84487534626038
PRMT4,7ppy,D,1,95.84487534626038
PRMT4,7pu8,A,1,95.84487534626038
PRMT4,7pu8,B,1,95.84487534626038
PRMT4,7pu8,C,1,95.84487534626038
PRMT4,7pu8,D,1,95.84487534626038
PRMT4,7puc,A,1,95.84487534626038
PRMT4,7puc,B,1,95.84487534626038
PRMT4,7puc,C,1,95.84487534626038
PRMT4,7puc,D,1,95.84487534626038
PRMT4,7puq,A,1,96.11111111111111
PRMT4,7puq,B,1,96.11111111111111
PRMT4,7puq,C,1,96.11111111111111
PRMT4,7puq,D,1,96.11111111111111
PRMT4,7pv6,A,1,93.75
PRMT4,7pv6,B,1,93.75
PRMT4,7pv6,C,1,93.75
PRMT4,7pv6,D,1,93.75
PRMT4,7qph,A,1,95.84487534626038
PRMT4,7qph,B,1,95.84487534626038
PRMT4,7qph,C,1,95.84487534626038
PRMT4,7qph,D,1,95.84487534626038
PRMT4,7qph,E,2,100.0
PRMT4,7qph,F,2,100.0
PRMT4,7qph,G,2,100.0
PRMT4,7qph,H,2,100.0
PRMT4,7qrd,A,1,91.26984126984127
PRMT4,7qrd,B,1,91.26984126984127
PRMT4,7qrd,C,1,91.26984126984127
PRMT4,7qrd,D,1,91.26984126984127
PRMT4,7qrd,L,2,100.0
PRMT4,7qrd,M,2,100.0
PRMT4,7u9i,A,1,97.3913043478261
PRMT4,7u9i,B,1,97.3913043478261
PRMT4,8g2h,A,1,100.0
PRMT4,8g2i,A,1,100.0
PRMT4,8sig,A,1,100.0
PRMT4,8sih,A,1,100.0
PRMT4,8uqh,A,1,100.0
PRMT4,8uqh,B,1,100.0
PRMT4,8uqh,C,1,100.0
PRMT4,8uqh,D,1,100.0
PRMT4,9i0a,A,1,95.84487534626038
PRMT4,9i0a,B,1,95.84487534626038
PRMT4,9i0a,C,1,95.84487534626038
PRMT4,9i0a,D,1,95.84487534626038
PRMT4,9i1t,A,1,95.84487534626038
PRMT4,9i1t,B,1,95.84487534626038
PRMT4,9i1t,C,1,95.84487534626038
PRMT4,9i1t,D,1,95.84487534626038
PRMT4,9i9u,A,1,93.26145552560648
PRMT4,9i9u,B,1,93.26145552560648
PRMT4,9i9u,C,1,93.26145552560648
PRMT4,9i9u,D,1,93.26145552560648
PRMT4,9o37,A,1,100.0
PRMT4,9o6h,A,1,100.0
PRMT4,9o6h,B,1,100.0
PRMT4,9o6h,C,1,100.0
PRMT4,9o6h,D,1,100.0
