Target,pdb_id,Chain,Warhead,SMILES,%Exposed,pdb_path
DYRK1A,8yev,B,CUE,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0.65,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/8yev_B_CUE.pdb
DYRK1A,6a1g,B,9OL,C=C(c1ccc2c(c1)CC(C)(C)c1c(N)ncnc1-2)C1CCNCC1,0.64,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6a1g_B_9OL.pdb
DYRK1A,6ej4,C,B7W,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,0.636,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6ej4_C_B7W.pdb
DYRK1A,6eij,B,B5Z,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,0.576,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eij_B_B5Z.pdb
DYRK1A,6eiv,C,B6Q,CCC(=O)Nc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3)nc2N)c1,0.576,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiv_C_B6Q.pdb
DYRK1A,6eiq,C,B6Z,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2ccccc2)s1,0.567,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eiq_C_B6Z.pdb
DYRK1A,6a1g,A,9OL,C=C(c1ccc2c(c1)CC(C)(C)c1c(N)ncnc1-2)C1CCNCC1,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6a1g_A_9OL.pdb
DYRK1A,6eif,D,B5T,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eif_D_B5T.pdb
DYRK1A,7z5n,B,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_B_3NG.pdb
DYRK1A,7z5n,C,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_C_3NG.pdb
DYRK1A,7z5n,D,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_D_3NG.pdb
DYRK1A,7z5n,E,3NG,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,0.56,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7z5n_E_3NG.pdb
DYRK1A,6eij,D,B5Z,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,0.545,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eij_D_B5Z.pdb
DYRK1A,7a4r,A,QY8,Nc1nc2[nH]ccc2c(=O)[nH]1,0.545,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7a4r_A_QY8.pdb
DYRK1A,6eir,B,B6H,CCC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,0.543,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eir_B_B6H.pdb
DYRK1A,7oy6,C,39I,c1ccc(CNc2nc(Nc3cc(C4CC4)n[nH]3)c3sccc3n2)cc1,0.538,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/7oy6_C_39I.pdb
DYRK1A,2vx3,B,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.531,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2vx3_B_D15.pdb
DYRK1A,2wo6,B,D15,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,0.531,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/2wo6_B_D15.pdb
DYRK1A,6a1f,A,9OF,COc1ccc2c(c1)CC(C)(C)c1c(N)ncnc1-2,0.526,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6a1f_A_9OF.pdb
DYRK1A,6eif,C,B5T,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,0.52,/home/jxs794/WEBTOOLs/PROTAC-Target-Builder/jobs/d6706e03/WAR_PDB/DYRK1A/6eif_C_B5T.pdb
